
fact.txt -  14:03:06 PM Friday 09/18/09

				PC	BP	SP	STACK
2	INC	0	4	3	14	17	 0 0 0 0 1 | 1 1 29 3 | 1 6 20 2 | 1 10 20 0
3	LOD	1	4	4	14	18	 0 0 0 0 1 | 1 1 29 3 | 1 6 20 2 | 1 10 20 0 1
4	STO	0	3	5	14	17	 0 0 0 0 1 | 1 1 29 3 | 1 6 20 2 | 1 10 20 1
5	LOD	1	4	6	14	18	 0 0 0 0 1 | 1 1 29 3 | 1 6 20 2 | 1 10 20 1 1
6	LIT	0	1	7	14	19	 0 0 0 0 1 | 1 1 29 3 | 1 6 20 2 | 1 10 20 1 1 1
7	OPR	0	3	8	14	18	 0 0 0 0 1 | 1 1 29 3 | 1 6 20 2 | 1 10 20 1 0
8	STO	1	4	9	14	17	 0 0 0 0 0 | 1 1 29 3 | 1 6 20 2 | 1 10 20 1
9	LOD	1	4	10	14	18	 0 0 0 0 0 | 1 1 29 3 | 1 6 20 2 | 1 10 20 1 0
10	LIT	0	0	11	14	19	 0 0 0 0 0 | 1 1 29 3 | 1 6 20 2 | 1 10 20 1 0 0
11	OPR	0	8	12	14	18	 0 0 0 0 0 | 1 1 29 3 | 1 6 20 2 | 1 10 20 1 1
12	JPC	0	15	13	14	17	 0 0 0 0 0 | 1 1 29 3 | 1 6 20 2 | 1 10 20 1
13	LIT	0	1	14	14	18	 0 0 0 0 0 | 1 1 29 3 | 1 6 20 2 | 1 10 20 1 1
14	STO	1	3	15	14	17	 0 0 0 1 0 | 1 1 29 3 | 1 6 20 2 | 1 10 20 1
15	LOD	1	4	16	14	18	 0 0 0 1 0 | 1 1 29 3 | 1 6 20 2 | 1 10 20 1 0
16	LIT	0	0	17	14	19	 0 0 0 1 0 | 1 1 29 3 | 1 6 20 2 | 1 10 20 1 0 0
17	OPR	0	12	18	14	18	 0 0 0 1 0 | 1 1 29 3 | 1 6 20 2 | 1 10 20 1 0
18	JPC	0	20	20	14	17	 0 0 0 1 0 | 1 1 29 3 | 1 6 20 2 | 1 10 20 1
20	LOD	1	3	21	14	18	 0 0 0 1 0 | 1 1 29 3 | 1 6 20 2 | 1 10 20 1 1
21	LOD	0	3	22	14	19	 0 0 0 1 0 | 1 1 29 3 | 1 6 20 2 | 1 10 20 1 1 1
22	OPR	0	4	23	14	18	 0 0 0 1 0 | 1 1 29 3 | 1 6 20 2 | 1 10 20 1 1
23	STO	1	3	24	14	17	 0 0 0 1 0 | 1 1 29 3 | 1 6 20 2 | 1 10 20 1
24	OPR	0	0	20	10	13	 0 0 0 1 0 | 1 1 29 3 | 1 6 20 2
20	LOD	1	3	21	10	14	 0 0 0 1 0 | 1 1 29 3 | 1 6 20 2 1
21	LOD	0	3	22	10	15	 0 0 0 1 0 | 1 1 29 3 | 1 6 20 2 1 2
22	OPR	0	4	23	10	14	 0 0 0 1 0 | 1 1 29 3 | 1 6 20 2 2
23	STO	1	3	24	10	13	 0 0 0 2 0 | 1 1 29 3 | 1 6 20 2
24	OPR	0	0	20	6	9	 0 0 0 2 0 | 1 1 29 3
20	LOD	1	3	21	6	10	 0 0 0 2 0 | 1 1 29 3 2
21	LOD	0	3	22	6	11	 0 0 0 2 0 | 1 1 29 3 2 3
22	OPR	0	4	23	6	10	 0 0 0 2 0 | 1 1 29 3 6
23	STO	1	3	24	6	9	 0 0 0 6 0 | 1 1 29 3
24	OPR	0	0	29	1	5	 0 0 0 6 0
29	LOD	0	3	30	1	6	 0 0 0 6 0 6
30	WRT	0	0	31	1	5	 0 0 0 6 0
31	OPR	0	0	0	0	0	 0

test.txt -  14:05:02 PM Friday 09/18/09

				PC	BP	SP	STACK
PC	code	L	M	0	1	0	 0
0	JMP	0	10	10	1	0	 0
10	INC	0	5	11	1	5	 0 0 0 0 0
11	LIT	0	3	12	1	6	 0 0 0 0 0 3
12	STO	0	3	13	1	5	 0 0 0 3 0
13	LIT	0	0	14	1	6	 0 0 0 3 0 0
14	STO	0	4	15	1	5	 0 0 0 3 0
15	CAL	0	2	2	6	8	 0 0 0 3 0 | 1 1 16
2	INC	0	5	3	6	10	 0 0 0 3 0 | 1 1 16 0 0
3	LIT	0	13	4	6	11	 0 0 0 3 0 | 1 1 16 0 0 13
4	STO	0	3	5	6	10	 0 0 0 3 0 | 1 1 16 13 0
5	LIT	0	1	6	6	11	 0 0 0 3 0 | 1 1 16 13 0 1
6	STO	1	3	7	6	10	 0 0 0 1 0 | 1 1 16 13 0
7	LIT	0	7	8	6	11	 0 0 0 1 0 | 1 1 16 13 0 7
8	STO	0	4	9	6	10	 0 0 0 1 0 | 1 1 16 13 7
9	OPR	0	0	16	1	5	 0 0 0 1 0
16	OPR	0	0	0	0	0	 0

Pmachine - test.txt -  15:43:48 PM Sunday 09/27/09

				PC	BP	SP	STACK
PC	code	L	M	0	1	0	 0
0	JMP	0	10	10	1	0	 0
10	INC	0	5	11	1	5	 0 0 0 0 0
11	LIT	0	3	12	1	6	 0 0 0 0 0 3
12	STO	0	3	13	1	5	 0 0 0 3 0
13	LIT	0	0	14	1	6	 0 0 0 3 0 0
14	STO	0	4	15	1	5	 0 0 0 3 0
15	CAL	0	2	2	6	8	 0 0 0 3 0 | 1 1 16
2	INC	0	5	3	6	10	 0 0 0 3 0 | 1 1 16 0 0
3	LIT	0	13	4	6	11	 0 0 0 3 0 | 1 1 16 0 0 13
4	STO	0	3	5	6	10	 0 0 0 3 0 | 1 1 16 13 0
5	LIT	0	1	6	6	11	 0 0 0 3 0 | 1 1 16 13 0 1
6	STO	1	3	7	6	10	 0 0 0 1 0 | 1 1 16 13 0
7	LIT	0	7	8	6	11	 0 0 0 1 0 | 1 1 16 13 0 7
8	STO	0	4	9	6	10	 0 0 0 1 0 | 1 1 16 13 7
9	OPR	0	0	16	1	5	 0 0 0 1 0
16	OPR	0	0	0	0	0	 0

Pmachine - test.txt -  18:10:40 PM Thursday 09/22/11

				PC	BP	SP	STACK
PC	code	L	M	0	1	0	 0
0	JMP	0	10	10	1	0	 0
10	INC	0	5	11	1	5	 0 0 0 0 0
11	LIT	0	3	12	1	6	 0 0 0 0 0 3
12	STO	0	3	13	1	5	 0 0 0 3 0
13	LIT	0	0	14	1	6	 0 0 0 3 0 0
14	STO	0	4	15	1	5	 0 0 0 3 0
15	CAL	0	2	2	6	8	 0 0 0 3 0 | 1 1 16
2	INC	0	5	3	6	10	 0 0 0 3 0 | 1 1 16 0 0
3	LIT	0	13	4	6	11	 0 0 0 3 0 | 1 1 16 0 0 13
4	STO	0	3	5	6	10	 0 0 0 3 0 | 1 1 16 13 0
5	LIT	0	1	6	6	11	 0 0 0 3 0 | 1 1 16 13 0 1
6	STO	1	3	7	6	10	 0 0 0 1 0 | 1 1 16 13 0
7	LIT	0	7	8	6	11	 0 0 0 1 0 | 1 1 16 13 0 7
8	STO	0	4	9	6	10	 0 0 0 1 0 | 1 1 16 13 7
9	OPR	0	0	16	1	5	 0 0 0 1 0
16	OPR	0	0	0	0	0	 0
